day_of_week,time
Monday,23:26:14
Saturday,18:10:00
Tuesday,20:54:17
Tuesday,21:47:06
Saturday,23:38:45
Tuesday,11:41:39
Wednesday,20:46:26
Sunday,14:57:53
Wednesday,21:55:27
Monday,23:31:00
Thursday,13:20:00
Tuesday,15:54:47
Wednesday,18:51:03
Sunday,12:20:21
Wednesday,02:56:04
Wednesday,14:23:15
Wednesday,11:01:59
Friday,13:49:43
Wednesday,03:08:23
Tuesday,00:28:47
Sunday,16:44:00
Friday,22:35:38
Saturday,10:09:07
Friday,20:23:24
Thursday,13:41:49
Thursday,23:22:25
Wednesday,12:02:17
Wednesday,22:01:48
Monday,12:01:47
Friday,13:00:22
Monday,11:57:34
Monday,22:27:05
Monday,21:36:09
Friday,23:00:45
Friday,06:01:48
Sunday,03:26:23
Saturday,02:33:20
Saturday,17:57:03
Tuesday,00:49:35
Monday,17:34:17
Wednesday,21:51:04
Friday,14:28:01
Friday,01:09:52
Monday,22:44:19
Tuesday,23:21:00
Monday,06:56:35
Saturday,12:39:44
Saturday,21:03:06
Sunday,06:46:20
Tuesday,22:34:47
Tuesday,01:12:33
Thursday,18:59:50
Saturday,17:05:26
Saturday,23:15:07
Tuesday,11:40:11
Monday,03:46:39
Tuesday,16:12:43
Monday,06:50:32
Friday,21:22:49
Monday,02:32:52
Tuesday,17:10:33
Monday,10:52:51
Thursday,18:04:20
Thursday,00:08:46
Sunday,21:05:41
Tuesday,16:44:56
Sunday,18:32:02
Monday,12:42:01
Monday,00:12:52
Thursday,19:52:47
Tuesday,17:48:02
Tuesday,18:33:30
Wednesday,16:35:47
Wednesday,20:05:12
Sunday,04:01:34
Sunday,23:23:45
Monday,17:21:52
Wednesday,08:48:15
Thursday,19:35:08
Monday,03:47:22
Wednesday,12:01:12
Thursday,16:30:54
Friday,08:05:08
Tuesday,21:29:56
Thursday,00:03:47
Wednesday,22:18:51
Tuesday,04:01:51
Tuesday,22:28:27
Saturday,16:42:54
Monday,18:34:51
Tuesday,18:13:40
Thursday,12:43:46
Sunday,07:04:01
Monday,20:41:06
Friday,11:12:02
Friday,09:47:55
Tuesday,02:52:29
Saturday,21:36:30
Wednesday,11:32:15
Friday,18:03:14
Friday,06:54:13
Monday,05:20:39
Wednesday,19:51:43
Thursday,08:51:28
Saturday,16:56:53
Tuesday,00:38:28
Thursday,16:22:39
Saturday,23:35:10
Sunday,00:01:46
Thursday,06:54:52
Wednesday,11:17:47
Friday,21:18:37
Saturday,02:55:47
Thursday,00:22:16
Tuesday,17:00:11
Saturday,02:29:07
Sunday,00:33:54
Thursday,03:53:39
Monday,02:45:47
Saturday,03:41:35
Thursday,03:06:55
Thursday,20:01:06
Thursday,02:09:26
Wednesday,13:12:09
Sunday,19:19:18
Sunday,22:45:41
Monday,23:39:03
Wednesday,16:00:15
Friday,17:34:29
Friday,02:12:10
Sunday,02:46:06
Wednesday,02:14:40
Sunday,01:16:23
Friday,14:25:35
Tuesday,22:15:19
Monday,01:50:54
Thursday,20:25:32
Friday,23:29:49
Thursday,08:44:00
Monday,16:33:09
Sunday,22:47:53
Friday,02:19:10
Wednesday,22:26:22
Monday,20:49:08
Monday,23:20:36
Saturday,20:57:13
Monday,23:03:23
Sunday,12:31:31
Tuesday,06:50:34
Wednesday,20:19:15
Monday,22:48:40
Sunday,08:32:44
Thursday,06:48:41
Tuesday,00:40:26
Thursday,23:02:03
Wednesday,23:56:15
Sunday,04:25:28
Thursday,20:56:05
Friday,04:00:00
Tuesday,20:48:41
Wednesday,22:50:49
Saturday,15:14:12
Wednesday,02:43:05
Thursday,04:00:00
Thursday,21:02:12
